ID,lang_import,phbk note
786,,Daniel guessed language in 5-2014
796,,Daniel guessed language in 5-2014
68,,Daniel guessed language in 5-2014
797,,Daniel guessed language in 5-2014
798,,Daniel guessed language in 5-2014
957,,Daniel guessed language in 5-2014
968,,Daniel guessed language in 5-2014
969,,Daniel guessed language in 5-2014
978,,Daniel guessed language in 5-2014
1297,,Daniel guessed language in 5-2014
982,,Daniel guessed language in 5-2014
986,,Daniel guessed language in 5-2014
989,,Daniel guessed language in 5-2014
247,,Daniel guessed language in 5-2014
1000,,Daniel guessed language in 5-2014
1001,,Daniel guessed language in 5-2014
2329,,Daniel guessed language in 5-2014
2328,,Daniel guessed language in 5-2014
2396,,Daniel guessed language in 5-2014; Gloria called- result not digitized
1671,,Daniel guessed language in 5-2014; Gloria called- result not digitized
2386,,Daniel guessed language in 5-2014
2313,,Daniel guessed language in 5-2014
2389,,Daniel guessed language in 5-2014
2425,,Daniel guessed language in 5-2014
2433,,Daniel guessed language in 5-2014
2428,,Daniel guessed language in 5-2014
2437,,Daniel guessed language in 5-2014
2351,,Daniel guessed language in 5-2014
2651,,Daniel guessed language in 5-2014
255,,Daniel guessed language in 5-2014
2446,,Daniel guessed language in 5-2014
2423,,Daniel guessed language in 5-2014
2364,,Daniel guessed language in 5-2014
2673,,Daniel guessed language in 5-2014
256,,Daniel guessed language in 5-2014
2368,,Daniel guessed language in 5-2014
2155,,Daniel guessed language in 5-2014
2358,,Daniel guessed language in 5-2014
2669,,Daniel guessed language in 5-2014
2672,,Daniel guessed language in 5-2014
2665,,Daniel guessed language in 5-2014
2353,,Daniel guessed language in 5-2014
2663,,Daniel guessed language in 5-2014
2438,,Daniel guessed language in 5-2014
1008,,Daniel guessed language in 5-2014
2650,,Daniel guessed language in 5-2014
2675,,Daniel guessed language in 5-2014
1378,,Daniel guessed language in 5-2014
2660,,Daniel guessed language in 5-2014
254,,Daniel guessed language in 5-2014; Lucille called- result not digitized
2402,,Daniel guessed language in 5-2014; Lucille called- result not digitized
1060,,Daniel guessed language in 5-2014; Lucille called- result not digitized
211,,Daniel guessed language in 5-2014; Lucille called- result not digitized
149,es_PR,Daniel guessed language in 5-2014
64,es_PR,Daniel guessed language in 5-2014
124,es_PR,Daniel guessed language in 5-2014
860,es_PR,Daniel guessed language in 5-2014
2304,es_PR,Daniel guessed language in 5-2014
207,es_PR,Daniel guessed language in 5-2014
2455,es_PR,Daniel guessed language in 5-2014
144,es_PR,Daniel guessed language in 5-2014
176,es_PR,Daniel guessed language in 5-2014
2587,es_PR,Daniel guessed language in 5-2014
459,es_PR,Daniel guessed language in 5-2014
2488,es_PR,Daniel guessed language in 5-2014
2341,es_PR,Daniel guessed language in 5-2014
913,es_PR,Daniel guessed language in 5-2014
208,es_PR,Daniel guessed language in 5-2014
229,es_PR,Daniel guessed language in 5-2014
1487,es_PR,Daniel guessed language in 5-2014
187,es_PR,Daniel guessed language in 5-2014
922,es_PR,Daniel guessed language in 5-2014
542,es_PR,Daniel guessed language in 5-2014
337,es_PR,Daniel guessed language in 5-2014
2559,es_PR,Daniel guessed language in 5-2014
923,es_PR,Daniel guessed language in 5-2014
2606,es_PR,Daniel guessed language in 5-2014
925,es_PR,Daniel guessed language in 5-2014
172,es_PR,Daniel guessed language in 5-2014
142,es_PR,Daniel guessed language in 5-2014
125,es_PR,Daniel guessed language in 5-2014
307,es_PR,Daniel guessed language in 5-2014
185,es_PR,Daniel guessed language in 5-2014
2308,es_PR,Daniel guessed language in 5-2014
1505,es_PR,Daniel guessed language in 5-2014
2468,es_PR,Daniel guessed language in 5-2014
2589,es_PR,Daniel guessed language in 5-2014
2548,es_PR,Daniel guessed language in 5-2014
1307,es_PR,Daniel guessed language in 5-2014
1349,es_PR,Daniel guessed language in 5-2014
2609,es_PR,Daniel guessed language in 5-2014
470,es_PR,Daniel guessed language in 5-2014
1039,es_PR,Daniel guessed language in 5-2014
1321,es_PR,Daniel guessed language in 5-2014
2466,es_PR,Daniel guessed language in 5-2014
2380,es_PR,Daniel guessed language in 5-2014
221,es_PR,Daniel guessed language in 5-2014
1327,es_PR,Daniel guessed language in 5-2014
2615,es_PR,Daniel guessed language in 5-2014
169,es_PR,Daniel guessed language in 5-2014
2429,es_PR,Daniel guessed language in 5-2014
2307,es_PR,Daniel guessed language in 5-2014
1546,es_PR,Daniel guessed language in 5-2014
2667,es_PR,Daniel guessed language in 5-2014
2659,es_PR,Daniel guessed language in 5-2014
2357,es_PR,Daniel guessed language in 5-2014
391,es_PR,Daniel guessed language in 5-2014
2310,es_PR,Daniel guessed language in 5-2014
393,es_PR,Daniel guessed language in 5-2014
2657,es_PR,Daniel guessed language in 5-2014
2666,es_PR,Daniel guessed language in 5-2014
381,es_PR,Daniel guessed language in 5-2014
217,es_PR,Daniel guessed language in 5-2014
2710,es_PR,Daniel guessed language in 5-2014
1504,es_PR,Daniel guessed language in 5-2014
2552,es_PR,Daniel guessed language in 5-2014
2658,es_PR,Daniel guessed language in 5-2014
2670,es_PR,Daniel guessed language in 5-2014
2554,es_PR,Daniel guessed language in 5-2014
2350,es_PR,Daniel guessed language in 5-2014
2309,es_PR,Daniel guessed language in 5-2014
2676,es_PR,Daniel guessed language in 5-2014
260,es_PR,Daniel guessed language in 5-2014
214,es_PR,Daniel guessed language in 5-2014
2653,es_PR,Daniel guessed language in 5-2014
2553,es_PR,Daniel guessed language in 5-2014
2545,es_PR,Daniel guessed language in 5-2014
2546,es_PR,Daniel guessed language in 5-2014
2547,es_PR,Daniel guessed language in 5-2014
2354,es_PR,Daniel guessed language in 5-2014
