ID,Notes
582,2
593,5
602,6
609,7
756,12
945,14
772,17
923,22
903,24
932,25
1050,33
1060,35
1079,36
621,37
207,38
1084,39
607,40
991,41
976,Bus
982,BUS
1436,BUS or INDIV?
1000,Business
685,Business (Now OOA but grandfathered in)
238,but longtime friend
194,Dead
1089,Dead
1108,Dead
1123,dead
1147,Dead
1150,Dead
1180,Dead
1266,Dead
1283,Dead
1289,Dead
1319,dead
1122,"dead, ret082910"
1087,Dead10-2010
995,Dead6-2011
1328,Deceased2010
1086,Del042810
1101,Del042810
1114,Del042810
1118,Del042810
1119,Del042810
1130,Del042810
1131,Del042810
1136,Del042810
1138,Del042810
1139,Del042810
1142,Del042810
1143,Del042810
1144,Del042810
1159,Del042810
1162,Del042810
1163,Del042810
1165,Del042810
1169,Del042810
1174,Del042810
1178,Del042810
1183,Del042810
1184,Del042810
1187,Del042810
1188,Del042810
1190,Del042810
1194,Del042810
1202,Del042810
1204,Del042810
1209,Del042810
1210,Del042810
1218,Del042810
1221,Del042810
1222,Del042810
1224,Del042810
1229,Del042810
1239,Del042810
1240,Del042810
1245,Del042810
1247,Del042810
1248,Del042810
1249,Del042810
1251,Del042810
1252,Del042810
1262,Del042810
1264,Del042810
1269,Del042810
1278,Del042810
1279,Del042810
1286,Del042810
1291,Del042810
1299,Del042810
1302,Del042810
1310,Del042810
1314,Del042810
1318,Del042810
1327,Del042810
1330,Del042810
1331,Del042810
1341,Del042810
1182,Del042810-Died
1167,DelEO
808,"DelEO091312, lives at 8E3St"
830,died
1268,died2010
807,DNC03302011; re092210
426,DO NOT MAIL
831,DO NOT MAIL
967,DO NOT MAIL
113,DO NOT MAIL; upd100410
891,formerly 56e4
816,formerly at 69e4
1028,"Has apt at 16 2nd av, 6D"
1146,Mail returned 9/15/08
1514,mom/kid - both paid
728,moved?
1137,nomore?asof092710
1166,nonexistent120810
1168,nonexistent120810
624,OOA!
1009,OOA?
769,Re
1051,Re
1061,Re
1083,Re
1030,Re/CU
1155,Re101711
1115,really?
652,ret
987,ret
1019,ret
1411,ret
1238,ret011211
1111,ret011311
1227,ret012611
712,"ret042012, refused"
1125,ret042211
1126,ret042211
450,ret042909
1094,ret042909
1171,ret042909
1179,ret042909
1205,ret042909
1211,ret042909
1236,ret042909
1261,ret042909
1281,ret042909
1293,ret042909
1297,ret042909
1306,ret042909
1311,ret042909
1312,ret042909
1339,ret042909
1277,ret062211
1259,ret070211
1135,ret080609
1140,ret080609
1148,ret080609
1154,ret080609
1158,ret080609
1177,ret080609
1242,ret080609
1243,ret080609
650,ret080612
1112,ret082310
1234,ret082310
1276,ret082310
1170,ret082410
1172,ret082410
1220,ret082410
1317,ret082410
1244,"ret082410, vot#58, OOA!"
1090,ret082910
1340,ret083010
1282,ret090910
1100,ret091010
1120,ret091010
1133,ret091010
1164,ret091010
1273,ret091010
1099,ret091010/Pend042810-FB
1200,ret091210
1096,ret091310
1116,ret091410
1193,ret091410
1226,ret091410
1250,ret091410
1254,ret091410
1257,ret091410
1272,ret091410
1280,ret091410
1307,ret091410
1275,ret091910
136,ret092011?
1109,ret092510
1124,ret092510
1161,ret092510
1225,ret092510
1237,ret092510
1274,ret092510
1301,ret092510
12,ret101110
1134,ret120509
1335,Ret120509
667,ret120611
83,ret120710
1175,ret120910
1208,ret120910
662,ret121811
990,"ret121911, upd091110"
801,Sup
845,SUP
1544,SUP
928,SUPPORTER - upd092010
872,"upd 060111, vot#54"
757,upd 2/15/12
265,upd010411
320,Upd042810
532,Upd042810
584,Upd042810
599,Upd042810
683,Upd042810
820,Upd042810
863,Upd042810
879,Upd042810
968,Upd042810
974,Upd042810
1046,Upd042810
212,Upd042810-?
355,Upd042810-?
1065,Upd042810-?
997,Upd051711
979,upd061811
980,upd063011
570,upd082310
858,upd090910
615,upd091110
848,upd091110
937,upd091110
834,"upd091110, was at 120 E 4th St"
870,"upd091110, was Sup"
751,upd091312
565,upd092210
670,upd092210
715,upd092210
829,upd092210
929,upd092510
568,upd100410
695,Upd100410
754,upd100410
686,upd101410
1022,upd110410
577,upd120310 fr Elena
957,upd120810
950,upd122010
560,upd51011
243,vot
308,vot
331,vot
543,vot
547,vot
551,vot
561,vot
626,vot
628,vot
645,vot
666,vot
675,vot
682,vot
700,vot
717,vot
725,vot
731,vot
763,vot
782,vot
895,vot
1032,vot
1056,vot
1080,vot
664,vot#11
118,vot#12
790,vot#12
722,vot#13
298,vot#15
703,"vot#16, upd092210"
226,vot#17
864,vot#18
981,vot#19
1045,vot#20
785,vot#22
701,vot#23
72,vot#24
454,"vot#26, upd092210"
983,vot#27
904,vot#28
1068,vot#29
623,vot#30
800,vot#31
158,vot#32
922,vot#33
1052,vot#34
727,vot#35
1067,vot#36
909,vot#37
884,"vot#38, OOA? - Stuy Town!"
840,vot#39
851,vot#40
1010,vot#41
881,"vot#42, upd120710"
691,vot#43
713,"vot#44, sup"
860,"vot#45, upd102910"
1048,vot#46
833,vot#47
920,vot#48
569,vot#49
121,vot#50?
620,vot#51
303,vot#53
660,"vot#53, CU"
562,vot#55
760,vot#56-57
199,vot#59
163,vot#60
1025,vot#61
138,vot#63
610,vot#63
935,vot#64
450,"vot#65, upd100610"
325,"vot#67, spouse of Galo Montenegro, but mail ret!"
545,vot#68
273,vot#69
424,vot#70
445,vot#71
140,vot#72
905,"vot#73, upd092210-ann,call nehama"
639,vot#74
838,"vot#8,OOA!"
711,vot#9
761,vot#thisisforCharles57
936,"vot, individual"
299,"vot, Re?"
55,"vot, Resurrected"
789,"vot, Upd042810"
779,"vot, Upd042810-?"
228,"vot, upd092210"
964,voted; died
1513,young
1002,z
